上海新闻综合,rtp://233.18.204.57:5140
上海都市频道,rtp://233.18.204.53:5140
上海五星体育,rtp://233.18.204.58:5140
上海第一财经,rtp://233.18.204.59:5140
上海东方财经,rtp://233.18.204.65:5140
上海游戏风云,rtp://233.18.204.44:5140
上海生活时尚,rtp://233.18.204.45:5140
上海动漫秀场,rtp://233.18.204.46:5140
上海都市剧场,rtp://233.18.204.48:5140
上海法治天地,rtp://233.18.204.49:5140
上海哈哈炫动,rtp://233.18.204.54:5140
上海东方影视,rtp://233.18.204.55:5140
上海金色学堂,rtp://233.18.204.66:5140
上海乐游,rtp://233.18.204.47:5140
上海教育,rtp://233.18.204.63:5140
CCTV-1综合,rtp://233.18.204.52:5140
CCTV-2财经,rtp://233.18.204.68:5140
CCTV-3综艺,rtp://233.18.204.69:5140
CCTV-4中文国际,rtp://233.18.204.70:5140
CCTV-5体育,rtp://233.18.204.71:5140
CCTV-5+体育赛事,rtp://233.18.204.67:5140
CCTV-6电影,rtp://233.18.204.72:5140
CCTV-7国防军事,rtp://233.18.204.73:5140
CCTV-8电视剧,rtp://233.18.204.74:5140
CCTV-9纪录,rtp://233.18.204.75:5140
CCTV-10科教,rtp://233.18.204.76:5140
CCTV-11戏曲,rtp://233.18.204.77:5140
CCTV-12社会与法,rtp://233.18.204.78:5140
CCTV-13新闻,rtp://233.18.204.79:5140
CCTV-14少儿,rtp://233.18.204.80:5140
CCTV-15音乐,rtp://233.18.204.81:5140
CCTV-17农业农村,rtp://233.18.204.83:5140
CCTV-风云足球,rtp://233.18.204.176:5140
CCTV-央视台球,rtp://233.18.204.177:5140
CCTV-兵器科技,rtp://233.18.204.178:5140
CCTV-世界地理,rtp://233.18.204.179:5140
CCTV-女性时尚,rtp://233.18.204.180:5140
CCTV-高尔夫网球,rtp://233.18.204.181:5140
CCTV-怀旧剧场,rtp://233.18.204.182:5140
CCTV-风云剧场,rtp://233.18.204.183:5140
CCTV-第一剧场,rtp://233.18.204.184:5140
CCTV-风云音乐,rtp://233.18.204.185:5140
CCTV-央视文化精品,rtp://233.18.204.186:5140
CGTN,rtp://233.18.204.28:5140

东方卫视,rtp://233.18.204.51:5140
浙江卫视,rtp://233.18.204.84:5140
江苏卫视,rtp://233.18.204.85:5140
湖南卫视,rtp://233.18.204.86:5140
北京卫视,rtp://233.18.204.87:5140
广东卫视,rtp://233.18.204.88:5140
深圳卫视,rtp://233.18.204.89:5140
东南卫视,rtp://233.18.204.94:5140
黑龙江卫视,rtp://233.18.204.90:5140
山东卫视,rtp://233.18.204.91:5140
湖北卫视,rtp://233.18.204.92:5140
安徽卫视,rtp://233.18.204.93:5140
江西卫视,rtp://233.18.204.95:5140
辽宁卫视,rtp://233.18.204.96:5140
天津卫视,rtp://233.18.204.97:5140
四川卫视,rtp://233.18.204.99:5140
重庆卫视,rtp://233.18.204.100:5140
贵州卫视,rtp://233.18.204.101:5140
海南卫视,rtp://233.18.204.102:5140
河北卫视,rtp://233.18.204.103:5140
三沙卫视,rtp://233.18.204.172:5140
河南卫视,rtp://233.18.204.105:5140
云南卫视,rtp://233.18.204.106:5140
广西卫视,rtp://233.18.204.107:5140
吉林卫视,rtp://233.18.204.108:5140
甘肃卫视,rtp://233.18.204.110:5140
青海卫视,rtp://233.18.204.112:5140
宁夏卫视,rtp://233.18.204.230:5140
山西卫视,rtp://233.18.204.211:5140
西藏卫视,rtp://233.18.204.222:5140
陕西卫视,rtp://233.18.204.223:5140
内蒙古卫视,rtp://233.18.204.217:5140
新疆卫视,rtp://233.18.204.220:5140
兵团卫视,rtp://233.18.204.221:5140
延边卫视,rtp://233.18.204.155:5140

CETV-1,rtp://233.18.204.98:5140
CETV-2,rtp://233.18.204.154:5140
CETV-4,rtp://233.18.204.111:5140
CETV早期教育,rtp://233.18.204.187:5140
CHC家庭影院,rtp://233.18.204.173:5140
CHC动作电影,rtp://233.18.204.174:5140
CHC影迷电影,rtp://233.18.204.175:5140
卡酷少儿,rtp://233.18.204.109:5140
嘉佳卡通,rtp://233.18.204.151:5140
金鹰卡通,rtp://233.18.204.113:5140
金鹰纪实,rtp://233.18.204.104:5140
家庭理财,rtp://233.18.204.157:5140
财富天下,rtp://233.18.204.231:5140
快乐垂钓,rtp://233.18.204.42:5140
茶频道,rtp://233.18.204.43:5140

CCTV-4K超高清,rtp://233.18.204.204:5140
CCTV-16奥林匹克4K,rtp://233.18.204.215:5140
东方卫视4K,rtp://233.18.204.224:5140
浙江卫视4K,rtp://233.18.204.229:5140
江苏卫视4K,rtp://233.18.204.226:5140
湖南卫视4K,rtp://233.18.204.227:5140
广东卫视4K,rtp://233.18.204.218:5140
深圳卫视4K,rtp://233.18.204.219:5140
北京卫视4K,rtp://233.18.204.209:5140
四川卫视4K,rtp://233.18.204.225:5140
山东卫视4K,rtp://233.18.204.228:5140
欢笑剧场4K,rtp://233.18.204.205:5140
