CCTV1,rtp://239.94.0.31:5140
CCTV2,rtp://239.94.0.2:5140
CCTV3,rtp://239.94.0.32:5140
CCTV4,rtp://239.94.0.4:5140
CCTV5,rtp://239.94.0.33:5140
CCTV5+,rtp://239.94.0.23:5140
CCTV6,rtp://239.94.0.34:5140
CCTV7,rtp://239.94.0.7:5140
CCTV8,rtp://239.94.0.35:5140
CCTV9,rtp://239.94.0.9:5140
CCTV10,rtp://239.94.0.10:5140
CCTV11,rtp://239.94.0.36:5140
CCTV12,rtp://239.94.0.12:5140
CCTV13,rtp://239.94.0.37:5140
CCTV14,rtp://239.94.0.14:5140
CCTV15,rtp://239.94.0.38:5140
CCTV16,rtp://239.93.42.54:5140
CCTV17,rtp://239.94.0.39:5140

四川卫视,rtp://239.94.0.59:5140
湖南卫视,rtp://239.94.0.61:5140
江苏卫视,rtp://239.94.0.62:5140
浙江卫视,rtp://239.94.0.63:5140
东方卫视,rtp://239.94.0.64:5140
北京卫视,rtp://239.94.0.65:5140
深圳卫视,rtp://239.94.0.66:5140
广东卫视,rtp://239.94.0.67:5140
天津卫视,rtp://239.94.0.68:5140
山东卫视,rtp://239.94.0.69:5140
康巴卫视,rtp://239.94.0.78:5140
江西卫视,rtp://239.94.0.79:5140
东南卫视,rtp://239.94.0.80:5140
黑龙江卫视,rtp://239.94.0.81:5140
贵州卫视,rtp://239.94.0.83:5140
湖北卫视,rtp://239.94.0.84:5140
安徽卫视,rtp://239.94.0.85:5140
河北卫视,rtp://239.94.0.86:5140
河南卫视,rtp://239.94.0.88:5140
广西卫视,rtp://239.94.0.89:5140
云南卫视,rtp://239.94.0.90:5140
吉林卫视,rtp://239.94.0.91:5140
陕西卫视,rtp://239.94.0.92:5140
山西卫视,rtp://239.94.0.93:5140
内蒙古卫视,rtp://239.94.0.94:5140
青海卫视,rtp://239.94.0.95:5140
宁夏卫视,rtp://239.94.0.96:5140
西藏卫视,rtp://239.94.0.97:5140
新疆卫视,rtp://239.94.0.98:5140
甘肃卫视,rtp://239.94.0.99:5140
海南卫视,rtp://239.94.0.100:5140
辽宁卫视,rtp://239.94.0.101:5140
兵团卫视,rtp://239.94.0.102:5140
厦门卫视,rtp://239.94.0.104:5140
三沙卫视,rtp://239.94.0.105:5140
山东教育卫视,rtp://239.94.0.106:5140
延边卫视,rtp://239.94.0.107:5140
安多卫视,rtp://239.94.0.110:5140
重庆卫视,rtp://239.94.0.82:5140

CCTV4K,rtp://239.94.0.20:5140
四川卫视4K,rtp://239.94.0.115:5140
湖南卫视4K,rtp://239.94.0.116:5140
江苏卫视4K,rtp://239.94.0.117:5140
浙江卫视4K,rtp://239.94.0.118:5140
东方卫视4K,rtp://239.94.0.119:5140
北京卫视4K,rtp://239.94.0.112:5140
深圳卫视4K,rtp://239.94.0.113:5140
广东卫视4K,rtp://239.94.0.114:5140
山东卫视4K,rtp://239.94.0.120:5140
4K乐享超清专区,rtp://239.94.1.162:5140
4K少儿专区,rtp://239.94.1.70:5140
4K视界专区,rtp://239.94.1.60:5140
4K纪实专区,rtp://239.94.1.69:5140
欢笑剧场4K,rtp://239.94.1.176:5140

CHC家庭影院,rtp://239.94.1.173:5140
CHC影迷电影,rtp://239.94.1.174:5140
CHC动作电影,rtp://239.94.1.175:5140

乐龄学堂专区,rtp://239.94.1.155:5140
熊猫少儿专区,rtp://239.94.1.5:5140
金熊猫卡通专区,rtp://239.94.1.8:5140
卡酷少儿,rtp://239.94.1.29:5140
金鹰卡通,rtp://239.94.1.30:5140
优漫卡通,rtp://239.94.1.31:5140
宝宝动画专区,rtp://239.94.1.32:5140
少儿动画专区,rtp://239.94.1.33:5140
少儿天地专区,rtp://239.94.1.138:5140

音乐现场专区,rtp://239.94.1.36:5140
CGTN英语,rtp://239.94.0.40:5140
求索频道,rtp://239.94.1.142:5140
环球旅游,rtp://239.94.1.147:5140
军事专区,rtp://239.94.1.52:5140
北京纪实科教,rtp://239.94.0.109:5140
金鹰纪实,rtp://239.94.1.1:5140
乐游,rtp://239.94.1.164:5140
青春动漫专区,rtp://239.94.1.34:5140
戏曲精选专区,rtp://239.94.1.37:5140
魅力时尚专区,rtp://239.94.1.39:5140
电竞天堂专区,rtp://239.94.1.45:5140
游戏风云,rtp://239.94.1.46:5140
家庭理财,rtp://239.94.1.50:5140
墨宝专区,rtp://239.94.1.51:5140
看天下精选专区,rtp://239.94.1.68:5140
收视指南专区,rtp://239.94.1.56:5140
蓉城先锋专区,rtp://239.94.1.57:5140
东方财经,rtp://239.94.1.59:5140
CGTN西班牙语,rtp://239.94.1.65:5140
CGTN法语,rtp://239.94.1.66:5140
都市剧场,rtp://239.94.1.133:5140
快乐垂钓,rtp://239.94.1.153:5140
茶频道,rtp://239.94.1.154:5140
书画频道,rtp://239.94.1.163:5140
法治天地,rtp://239.94.1.166:5140
中国天气,rtp://239.94.1.167:5140
四海钓鱼,rtp://239.94.1.168:5140
动漫秀场,rtp://239.94.1.171:5140
精彩导视,rtp://239.94.1.63:5140
中国交通,rtp://239.94.0.87:5140
CETV1,rtp://239.94.1.2:5140
CETV2,rtp://239.94.1.19:5140
精彩推荐专区,rtp://239.94.2.10:5140
红原日干乔,rtp://239.94.2.19:5140
红原月亮湾,rtp://239.94.2.20:5140
先锋乒羽,rtp://239.94.1.151:5140
天元围棋,rtp://239.94.1.152:5140
百变课堂专区,rtp://239.94.1.43:5140
金色学堂,rtp://239.94.1.165:5140

峨眉电影,rtp://239.94.0.103:5140
经典电影专区,rtp://239.94.1.21:5140
华语影院专区,rtp://239.94.1.22:5140
星光院线专区,rtp://239.94.1.23:5140
全球大片专区,rtp://239.94.1.24:5140
热播剧场专区,rtp://239.94.1.25:5140
谍战剧场专区,rtp://239.94.1.28:5140
精彩影视,rtp://239.94.1.172:5140
熊猫影院专区,rtp://239.94.1.6:5140

CDTV1,rtp://239.94.0.154:5140
SCTV2,rtp://239.94.0.70:5140
SCTV3,rtp://239.94.0.71:5140
SCTV4,rtp://239.94.0.72:5140
SCTV5,rtp://239.94.0.73:5140
SCTV7,rtp://239.94.0.75:5140
SCTV科教,rtp://239.94.0.76:5140
四川乡村,rtp://239.94.0.77:5140
CDTV2,rtp://239.94.0.155:5140
CDTV3,rtp://239.94.0.156:5140
CDTV4,rtp://239.94.0.157:5140
CDTV5,rtp://239.94.0.158:5140
CDTV6,rtp://239.94.0.159:5140
CDTV8,rtp://239.94.0.160:5140
熊猫新闻专区,rtp://239.94.1.3:5140
熊猫体娱专区,rtp://239.94.1.4:5140
云看熊猫专区,rtp://239.94.1.7:5140
i成都,rtp://239.94.2.1:5140

