CCTV-1综合,rtp://239.21.1.120:5002
CCTV-2财经,rtp://239.21.1.151:5002
CCTV-3综艺,rtp://239.21.2.45:5002
CCTV-4中文国际,rtp://239.21.1.154:5002
CCTV-4欧洲,rtp://239.21.2.28:5002
CCTV-4美洲,rtp://239.21.2.29:5002
CCTV-5体育,rtp://239.21.2.46:5002
CCTV-5+体育赛事,rtp://239.21.1.142:5002
CCTV-6电影,rtp://239.21.2.47:5002
CCTV-7国防军事,rtp://239.21.1.152:5002
CCTV-8电视剧,rtp://239.21.2.48:5002
CCTV-9纪录,rtp://239.21.1.153:5002
CCTV-10科教,rtp://239.21.1.155:5002
CCTV-11戏曲,rtp://239.21.2.2:5002
CCTV-12社会与法,rtp://239.21.1.156:5002
CCTV-13新闻,rtp://239.21.2.3:5002
CCTV-14少儿,rtp://239.21.1.157:5002
CCTV-15音乐,rtp://239.21.2.4:5002
CCTV-17农业农村,rtp://239.21.1.186:5002
中央新影中学生,rtp://239.21.2.176:5002
CETV-1,rtp://239.21.2.7:5002
CETV-4,rtp://239.21.2.129:5002
CGTN,rtp://239.21.2.30:5002
CGTN俄语,rtp://239.21.2.35:5002
CGTN法语,rtp://239.21.2.33:5002
CGTN纪录,rtp://239.21.2.31:5002
CGTN西班牙语,rtp://239.21.2.32:5002
CGTN阿拉伯语,rtp://239.21.2.34:5002
东南卫视,rtp://239.21.1.113:5002
东方卫视,rtp://239.21.1.111:5002
云南卫视,rtp://239.21.2.86:5002
兵团卫视,rtp://239.21.2.188:5002
北京卫视,rtp://239.21.1.88:5002
吉林卫视,rtp://239.21.2.49:5002
四川卫视,rtp://239.21.2.15:5002
天津卫视,rtp://239.21.1.165:5002
宁夏卫视,rtp://239.21.2.189:5002
安徽卫视,rtp://239.21.1.159:5002
山东卫视,rtp://239.21.1.87:5002
广东卫视,rtp://239.21.1.92:5002
广西卫视,rtp://239.21.2.87:5002
新疆卫视,rtp://239.21.2.187:5002
江苏卫视,rtp://239.21.1.89:5002
江西卫视,rtp://239.21.1.167:5002
河北卫视,rtp://239.21.1.168:5002
河南卫视,rtp://239.21.2.37:5002
浙江卫视,rtp://239.21.1.90:5002
海南卫视,rtp://239.21.2.14:5002
深圳卫视,rtp://239.21.1.93:5002
湖北卫视,rtp://239.21.1.163:5002
